Hour,SENTRI,READY,General,PctSENTRI,NBGenFac,NBSpeFac,SBGenFac,NBFastFac,NBGPFac,SBTrkFac
1,35.0,345.0,561.0,0.14375529411764706,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
2,41.0,142.0,438.0,0.07350939393939393,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
3,48.0,376.0,1150.0,0.0735728275862069,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
4,102.0,650.0,1217.0,0.16880960835509137,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
5,244.0,1282.0,1802.0,0.293630146627566,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
6,727.0,1133.0,1533.0,0.47153,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
7,1048.0,1924.0,1388.0,0.52064,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
8,1222.0,640.0,1702.0,0.5464,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
9,861.0,720.0,535.0,0.52972,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
10,813.0,538.0,926.0,0.48112,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
11,783.0,370.0,1211.0,0.48452,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
12,1028.0,896.0,410.0,0.47741,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
13,417.0,87.0,201.0,0.4842,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
14,721.0,818.0,453.0,0.48196,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
15,597.0,278.0,518.0,0.47331,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
16,663.0,564.0,432.0,0.44496,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
17,695.0,312.0,228.0,0.43738,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
18,798.0,892.0,1706.0,0.45488,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
19,827.0,369.0,465.0,0.47235,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
20,672.0,550.0,914.0,0.45805,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
21,407.0,554.0,821.0,0.39893,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
22,395.0,379.0,530.0,0.36,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
23,229.0,304.0,540.0,0.3417897435897436,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
24,136.0,204.0,249.0,0.275543661971831,1.181164682,1.181164682,1.181164682,1.089423875,1.089423875,1.089423875
